,user_name,lang,user_location,user_description,user_verified,date,text,hashtags,source
408,Relee,en,"Sarnia, Ontario, Canada","Canadian Squirrel, Game Developer, Software Programmer

BD: 9/9/81, Adult Account, Pro-Trans, Enby

Sometimes Discusses Dark Stuff, Things No-one Wants to Hear",False,2022-04-23 23:59:59,"@KurasuSoratobu Yeah he made a joke about that too; he was beat up by gangsters that time, and got his nose broke, I think? He put up a poll of ""Why is Markiplier in the Hospital?"" I think he wanted to joke with the fans to let them know he was mostly okay.

Apparently it's intestines, tho...",,Twitter Web App
409,Joseph Emmanuel,en,"Abuja, Nigeria","Medical student obsessed with Affiliate marketing. Turned $21 into $7600 using just WhatsApp.

🔔 I share valuable contents on WhatsApp. Connect with me👇",False,2022-04-23 23:59:59,Success always leaves clues,,Twitter for Android
410,Apetropics.com,en,Metaverse,"Aloha, Chewy here from Apetropics. We giving away a Mutant Ape! Feeling Lucky? 🦧 👇🏾 https://t.co/mY7cTfBDWD BAYC #1441 #9685 #9440 MAYC #29370",False,2022-04-23 23:59:59,#BAYC floor at 130 🤯🔥🤑 How long until we hit 150?? #BoredApeYachtClub #BoredApe #boredapeyc,"['BAYC', 'BoredApeYachtClub', 'BoredApe', 'boredapeyc']",Twitter for iPhone
411,Claire,en,"Nova Scotia, Canada","Teach. Never Con! Twitter is nought but autocorrupt. Solidarity! it all stopped, unresolved, Day 28 ✊💔🇺🇦",False,2022-04-23 23:59:59,@realTomChapman I’m so jealous!,,Twitter for iPad
412,madison,en,lilith ♈︎ ♓︎ ♑︎,ethereal psycho scary gf,False,2022-04-23 23:59:59,"@ppdesbb my icloud messed up, like how i couldnt send pics and stuff earlier:/",,Twitter Web App
413,grafitesque,en,Melbourne,"All my life I spent my money on movies, comics and travel... the rest, I just wasted.
#GoPies",False,2022-04-23 23:59:59,"Putin's next target? A dispatch from Transnistria, an unrecognized breakaway state that borders Ukraine.  https://t.co/zY1Bd5CYim",,Twitter Web App
414,Faisal Ansari,en,,Faisal ansari,False,2022-04-23 23:59:59,@ChennaiIPL @msdhoni @DJBravo47 Favorite,,Twitter for Android
415,świętych obcowanie 😇the communion of saints,en,cały świat 💚💛🧡 whole world,Jezu ufam Tobie Jezu Ty się tym zajmij i wylej Miłosierdzie Swoje🙏🤲❤🕊Jesus I trust in You Jesus please take over and POUR out Your Mercy,False,2022-04-23 23:59:59,"23rd of April 

Blessed Giles of Assisi please pray for us 🙏🤲❤🕊😇

Friend and third follower of Saint Francis of Assisi. Sent as a missionary to Muslims in Tunis, but had no success.

https://t.co/BJk067LsgS https://t.co/yXz9hJXXI3",,Twitter for Android
416,Two & a Half MUN,en,Cayman Islands,"🔴 🔰 Caribbean based Manchester United Fan Channel ⚽️ Come and experience our #MUFC fandom, a world away from the Theatre of Dreams #GGMU",False,2022-04-23 23:59:59,"@utdreport @sbates_people Well, that’s clear as day for anyone who actually watches the matches",,Twitter for iPhone
417,DynamicFirefighterDave,en,"Victorville, CA","Am a Father, Brother, God-Father, retired Firefighter, GrandPapa and all around Goof-ball who enjoys life and a good time. The guy your boyfriend can’t stand.",False,2022-04-23 23:59:59,@SarahSevans2000 You can keep the sun but I will take the kisses.. Lol. Have a good weekend.,,Twitter for iPad
418,DurianCrispy,en,,Adulting is hard,False,2022-04-23 23:59:59,"@soompi CLASS:Y surrounded by zombies!

CLASS IS OVER SPOILER

#클라씨_교실서_티저
#Into_CLASSy_CLASSROOM
@M25_CLASSy","['클라씨_교실서_티저', 'Into_CLASSy_CLASSROOM']",Twitter for Android
419,🇺🇦JWB *🍑 🇺🇦 love is love,en,Below the Mason Dixon Line ,(She/Her) Sassy Southerner - Adopt Don't Shop - r/t don't equal endorsement - Tweets are my own opinion - Bama football is my religion ;P,False,2022-04-23 23:59:59,"@JennaTaileaOG @JetBlue dang, that's messed up. Sorry you're going through that , delayed flights suck and this is straight up shenanigans",,Twitter Web App
420,Foreverknight,en,Mako Reactor No 7,"Lvl. 28 huge RPG fan, play mostly everything, gaming is a way of life. Let's all game together! 

Afroman2258 on PSN and Xbox. 

PS5/PC/Switch/Xbox",False,2022-04-23 23:59:59,@Twitchfactor They look like they are getting better sleep than I ever do.,,Twitter for Android
421,Sealio; i’m seeing robbie today!!!!!!!,en,,she/they | trans 🏳️‍⚧️ | omni | catgirl | cavekid | priv: @walreinnnn,False,2022-04-23 23:59:59,"@skipthewolf yes, definitely, absolutely",,Twitter for iPhone
422,Nick Konarowski,en,,"Leafs stories/stats/facts #leafsforever #leafs

Views are my own - 🇨🇦🇺🇦🇵🇱",False,2022-04-23 23:59:59,It was also at this game where a crazy lady dressed as a witch jumped on the ice and stole a stick off the Leafs bench #LeafsForever https://t.co/UI3b19rxgV,,Twitter Web App
423,Chris Hermanson,en,"Durham, NC",,False,2022-04-23 23:59:59,@BovadaOfficial Let’s Go Blue!,,Twitter for iPhone
424,GMagz,en,,I really just don’t know why I’m here,False,2022-04-23 23:59:59,@PitchingNinja @Yankees tysm for the gift,,Twitter for iPhone
425,Blacksoldier,en,"Vaughan, Ontario",also unknown as Porter Blackrock,False,2022-04-23 23:59:59,How many of these 'platforms' did I build while a Seneca@York? If only I could remember.,,Twitter for Android
426,Kirby With A Gun,en,Dreamland,Daily reminders of Kirby with a gun. Made with Cheap Bots Done Quick!,False,2022-04-23 23:59:59,Kirby with a gun,,"Cheap Bots, Done Quick!"
427,letstalkaboutgoats,en,,goats,False,2022-04-23 23:59:59,"@averygrrl “What do you guys think of the FDA approval (in a man’s voice)?

Can’t touch this!”

Lol",,Twitter for iPhone
428,lucky,en,archiveofourown.org/works/3301,he/him lesbian | | fruity | | holomyth | | iname enthusiast | | twitch/youtube: codeluckykun ;; https://t.co/o9uS8UkWBV,False,2022-04-23 23:59:59,Girlboss #PS4share https://t.co/FfNRwKj664,['PS4share'],PlayStation®Network
429,Halo Infinite Refund Guy,en,Asheville NC,343 promised us co-op campaign for Infinite's launch for YEARS and then went back on their word when they mismanaged a beloved gaming franchise.Take the IP away,False,2022-04-23 23:59:59,"@asalisbury @Spacestation @KurtBenkert Hey can you guys send me a refund? Xbox is refusing a refund on infinite but clearly the leadership during halo 5’s life (same people now) promised halo 6 would have co-op campaign on release

False advertising my friend. Could you sort this out? Thanks!",,Twitter for iPhone
430,peepall,en,United States,#nft #crypto #bitcoin #eth #metaverse #jpeg 🦁🦍 #LazyLions #SupremeKong #CosmicCats #FishyFam #MMCC,False,2022-04-23 23:59:59,@CosmicCats_ @NFT_Hendo This cat 😸 is dope 🚀🚀🚀,,Twitter for Android
431,OTT,en,,,False,2022-04-23 23:59:59,"@GeneralLmao @frqnflyer @Xndzorutox1 @ragipsoylu @leventkemaI It is normal for great powers to have periods of strength and periods of weakness. Just look at what the Ottoman Empire did to Europe under Süleyman.

And  It is also normal for non-powers like the Armenians to live under foreign rule for most of their history 🤣",,Twitter for iPhone
432,"Lower and deeper, to the masses",en,"Maryland, USA",Marxist Leninist & anti-imperialist. @cpi_usa #AbolishNATO #DonbasLivesMatter #FreeAlexSaab #FreeAssange #endsanctions #SOSUSA,False,2022-04-23 23:59:59,Most people on Twitter don't send tweets like this https://t.co/uUA0tcoO0z,,Periscope
433,k 💫 (3.2k),en,rpf | aroace qpoc | 20s | 🌙🐰,they/she | jin harem 🌙,False,2022-04-23 23:59:59,oh……. he.. he’s perfect https://t.co/3Rokg2Ke5P,,Twitter for iPhone
434,イツラコリウキ,en,,この垢は【@_RMHI】の提供でお送りします,False,2022-04-23 23:59:59,"＠null Another hour! It's April 24, 2022 at 08:59AM",,IFTTT
435,LIL AUTU$$Y 秋 ♡,en,She/They ♡ ,"♡ - i like kanye and leelah fortnite imo, coolest member of the fruit bowl - ♡",False,2022-04-23 23:59:59,@PersonalEve_ you are !!,,Twitter for Android
436,Soleil✦Commissions Open,en,he/him,I do art and sht ✦ Star Bunny ✦ Commissions Open ✦ I'm too shy to call myself a vtuber ✦ Twitch: https://t.co/sljwfF03eH,False,2022-04-23 23:59:59,"Seeing this 🤌 is deadly in the Philippines
You'll be sent to the afterlife as soon as you see it unless you're lucky enough to dodge it",,Twitter for Android
437,Reginald D Hunter,en,Earth,Comedian swashbuckler dabbler-scientist rapscallion poof reader shockmocker and libertine,True,2022-04-23 23:59:59,"Night night everyone. Peace
#santiagoborja https://t.co/12JegAKuNu",['santiagoborja'],Twitter for Android
438,𝗂𝗆𝗆𝖺𝗐𝖾𝗂𝗋𝖽𝗈,en,parellel universe,𝖫𝖾𝗏𝗂 𝖠𝖼𝗄𝖾𝗋𝗆𝖺𝗇 𝖲𝗄𝗂𝖽𝖺 🖤,False,2022-04-23 23:59:59,"when you just wanna be loved, but you're a little psycho.",,Twitter for Android
439,🌼,en,,𝓅𝓈𝒽 • 𝓈𝒿𝓃,False,2022-04-23 23:59:59,@yjwl4vr good morning be,,Twitter for Android
440,Etin As,en,,Just a simple man making his way through the world. Don't ask for much.  Doesn't take much to make me happy.,False,2022-04-23 23:59:59,@brattybrbie tryna sniff your asshole,,Twitter Web App
441,World Famous CB/Cheeseburger,en,,"Drip God, Da’Coldest Brotha, 99Overall, The Rhythm! ROH Pro Wrestler @ringofhonor ! Trainer/Owner of @worldwidedojo Bookings: ROHCheeseburger@hotmail.com",True,2022-04-23 23:59:59,.@ThaYxungOG almost hit the damn ceiling!!!! #DPWforever https://t.co/mI8XoSS2Ts https://t.co/bGX6DAUc3n,['DPWforever'],Twitter for iPhone
442,NELLYDASCOUT,en,Warzone ,"Veteran | Father | Gamer | Warrior |
Full time streamer for @RegimentGG powered by @GfuelEnergy (code: regiment)",False,2022-04-23 23:59:59,Don't post shit u ain't willing to back up. I'm what u call the truth teller. 😆 🤣 😂,,Twitter for Android
443,Steve Tomaskovich,en,,,False,2022-04-23 23:59:59,@DetectiveFisch @utahjazz You ever try Tito's? I used to be a Grey Goose guy myself but made the switch.,,Twitter Web App
444,Mark Shealy,en,"Florida, USA","Christian, diver, conservative, who enjoys diving deep into dark wet holes while looking at wet rocks, and arguing with random people.",False,2022-04-23 23:59:59,"@lovelycoconut @Adam41660516 @sbhank Well in that case, come on down to Florida. We are anti woke here.",,Twitter for Android
445,سارة النور 𓂆,en,,"‏‏‏‏‏‏‏‏‏‏‏‏‏INTJ | OIU |
''كلما زاد علمك ، زادت حريتك''  ‎‎‎‎‎|
سألت العرّاب ذات يوم عن موطني فأجابني بسوف ‎#تنهض_بس 🇸🇩",False,2022-04-23 23:59:59,@malaz69642065 I missed you!,,Twitter Web App
446,Alexk14,en,New York,"3x DK FWGC.Top-50 ‘21.Top-100 ‘20 Qualified for 2022! Hobby Player. subscriber:Rotogrinders,Awesemo,DFI, Cutsweats,RunPureSports,PFF, FanShare,RickRunGood,FNGC",False,2022-04-23 23:59:59,@jeffmcg88 @Joel_Dahmen @PeterMalnati Great pic! 😊,,Twitter for iPhone
447,toriq غيث,en,,Kripto,False,2022-04-23 23:59:59,"@ohhmaf999 Yang celebrate pun judge juga sebenarnya. 'Hey good going'.

Celebrating or frowning is the outcome of the judgement. You need both type of circle so that you don't drown in toxic positivity.",,Twitter for Android
448,♑︎,en,♓︎,all the good girls go to hell,False,2022-04-23 23:59:59,@jisool0vebot my revenge,,Twitter for Android
449,jimbo,en,North Carolina,On a lifelong journey to speedboat ownership,False,2022-04-23 23:59:59,What’s the deal with people saying “I could just eat him up” when they see a baby,,Twitter for iPhone
450,Buck_ ⚡🍊💊,en,Based department,"#Bitcoin psychopath who doesn't care about anyone

American hero 🇺🇸

Laser eyes 😎

Diamond hands 💎

Paper heart 💔

Zealot for Christ ☘️

""Cryptofascist"" 🔥",False,2022-04-23 23:59:59,@Dennis_Porter_ @mikealfred Why would I follow some weirdo who blocked me when I never once interacted with him lol,,Twitter Web App
451,$THOR Aura of Jupiter,en,United States,$MartianMiner $GatesOfOlympus $AuraOfJupiter Put him on the crypto it was cheap but he ain't want to listen - @MoneyMan,False,2022-04-23 23:59:59,"It was in my mind certainly, gotta get this bread urgently!",,Twitter for iPhone
452,cancun teddy,en,walmart,JokicB2BMVP | #MileHighBasketball | nuggs in 6 | NUGGETS PROPAGANDA | not a troll | other 29 NBA teams hater💯|  Jamal Murray. | BONES ENJOYER🦴 | RIVERS BETTA⛏,False,2022-04-23 23:59:59,"Trade Donovan Mitchell to Luka
Trade Rudy Gobert to Jokic

You have a championship",,Twitter for Android
453,soul +*^,en,she/her 17 viet !! JPGC !!,mina mina minari,False,2022-04-23 23:59:59,@sk8rlin0 I TALKED A LOT IN MINE OK YOU PUT A PICTURES OF LEE KNOW,,Twitter for iPhone
454,~cute bob~,en,,"Manusia biasa, cuma cute..",False,2022-04-23 23:59:59,@Cekdee3 thanks follow bob,,Twitter for Android
455,Nick Profita,en,Boston,,False,2022-04-23 23:59:59,@SouichiTerada Did they take that Kyrie layup off the scoreboard?,,Twitter for iPhone
456,jimin ost !,en,she/they black 18,cuntymin enthusiast,False,2022-04-23 23:59:59,jimin defenders are so hot,,Twitter for iPhone
457,hixen,en,black he/him lesbian minor,why not flex on the world and make them say our name,False,2022-04-23 23:59:59,my pencil died its a sign to stop drawing.,,Twitter for iPhone
458,jayc,en,Earth,"Monster trump is gone. If you are Republican, thats all I need to know... Love all animals! I block Magats.... Is this a dating site? 🌊❤💋Luv Chocolate🍫😛",False,2022-04-23 23:59:59,"@donwinslow Well said, love this!",,Twitter Web App
459,Mics,en,she/her,"cw: run, loveftm&d3, military prosecutor doberman, crazy love, the king of pigs, tomorrow, again my life, our blues, who rules the world, love all play, ss",False,2022-04-23 23:59:59,"@BARMYSTREAM @BTS_twt Seis

DARK N WILD SUPREMACY
#BTS_Butter #BTS (@BTS_twt)","['BTS_Butter', 'BTS']",Twitter for Android
460,BlockMeCoward,en,,,False,2022-04-23 23:59:59,"@Alimnariv @_Mr__Wise_ @Maggie86288609 @topdodia @Michael25241008 @drzul_albakri If you're talking about the current violence in Sweden, then in that context, yes, everything is the fault of (those particular) Muslims. They bear 100% of the blame for the violence, because THEY'RE COMMITTING VIOLENCE. Those who ""provoked"" them bear 0% of the blame FOR VIOLENCE",,Twitter Web App
461,Fiona Simpson,en,"Barrhead, Scotland","Loves life, family and friends",False,2022-04-23 23:59:59,"@2351onthelist @SovereignBain Seriously? 54% increase in energy bills, sewage in our rivers, cost of living crisis, food banks in 21st century and you think independence will trash standards of living? Open your eyes... We need independence to get our standards of living back",,Twitter for Android
462,taa🍀,en,,"akun @goldietaa ke sus, don't reroll me🙏🏻 || ini skrg jadi akun GA 🙏🏻 || 94L✨",False,2022-04-23 23:59:59,@jscmine @Plutoo_jpeg wish me luck,,Twitter for Android
463,Misquote Bot,en,,,False,2022-04-23 23:59:59,"""The two phoniest days in your life are the day you eat a snake tongue and the day you accidentally lick your boss."" -Mark Twain",,"Cheap Bots, Done Quick!"
464,Ashhthatt☯,en,781 or 305 ,hate it or love it the underdogs on top,False,2022-04-23 23:59:59,Lol happened to me 🤡 https://t.co/zedpAnCSfR,,Twitter for iPhone
465,IfNotNowWhen,en,"Toronto, Ontario",,False,2022-04-23 23:59:59,"@Shawn_McFarlane Canadians did not vote for WHO, WEF or any globalist! Pandemics may not stop at boarders however they should never dictate our rights to bodily autonomy nor should the government! Wtf up people!!!",,Twitter for iPhone
466,👩🏾‍💻Issa Bae👩🏾‍💻,en,Chicago 🛬 Houston,Backup for @seauxshanti | Still Creole⚜️| Still pansexual | Still claircognizant🔮 | 🎮 | I’m really two bunnies in a trenchcoat posing as a Black woman,False,2022-04-23 23:59:59,I need to go here while high https://t.co/aHc7j2pUwl,,Twitter for iPhone
467,Ms. Peep ENVtuber 🔞🏳️‍⚧️,en,the void,"she/her | VTuber | Catgirl | OF/Fansly @Lewd_Peep | Transwoman

Click the link to find my other socials and the creators of my vtuber model
https://t.co/2fG6iIplZY",False,2022-04-23 23:59:59,I wanna bite some ankles,,Twitter for Android
468,Landrekso,en,,I'm a russian bot. Don't tell anyone.,False,2022-04-23 23:59:59,@FrFriedPotaters @heyitsnatalie00 @OccupyDemoshats Yes. That why men are better all around. We're even better at being chicks.,,Twitter Web App
469,yoshida's,en,Niko's,"‼️akun rant‼️ JGN FOLLOW, jgn kepo, jgn ss🫥",False,2022-04-23 23:59:59,@convomf creation,,Twitter for Android
470,the matt curse is real sadly (9-4)❤️💛⚾️,en,help us all ,"Early lineup news, detailed live tweets and more. (She/Her)#STLCARDS #STLBLUES #MLB #NHL",False,2022-04-23 23:59:59,Reds are (2-13) 😭😭 #MLB #ATOBTTR,"['MLB', 'ATOBTTR']",Twitter for iPhone
471,Eli ⋆⁺₊⋆,en,TREASURE,"I write what i imagine in my head 🌃

📝 : https://t.co/Kxy8cwFxBl 
🐱 : https://t.co/KcOQWLzcxP",False,2022-04-23 23:59:59,Babiessss!!! https://t.co/iPHmbtqQPk,,Twitter for Android
472,ALMENDRISTA,en,Cómo vas A Descender ?,"Oscar
Almendra-Varela-Pol",False,2022-04-23 23:59:59,@EncuestasNOB___ Obvio,,Twitter for Android
473,Rockdawggy,en,"North Carolina, USA","I love Sports, Music, and Family. NBA TOP SHOT FANATIC! 809’er at @HouseofKibaa. Self proclaimed Top Shot Reporter/Content Creator. Shitty guitar player...",False,2022-04-23 23:59:59,"Wait…did I just hear the great Eric B. &amp; Rakim coming out of the break in the Celts/Nets game?

AND THEN, I swear I heard MORE Eric B. &amp; Rakim during a commercial.

Legends finally getting some airplay, lol.",,Twitter for iPhone
474,Alucar Sattious,en,,"You are a fine example of an exceptionally abled individual, aren't you slur?",False,2022-04-23 23:59:59,"@Laraundso2 @theserfstv 21 to drink and have insurance, but 18 years if age you are a full legal adult.

And we need to have single person unisex bathrooms, because people have and will use the trans thing to their advantage: https://t.co/fbnTs3CFEy",,Twitter Web App
475,gabby🔜Anime Riverside,en,,"really struggling to live, laugh, love in these conditions",False,2022-04-23 23:59:59,@izzybellasantos i jus a baby,,Twitter for iPhone
476,Mr.Bengals,en,United States,Twitch streamer/recently productive YT'br. Still enjoying tacos and live music.,False,2022-04-23 23:59:59,"It's been ""one of those days"" in Rust. https://t.co/5G04WRo72n",,Twitter Web App
477,emimi,en,,,False,2022-04-23 23:59:59,@ochatogas I LOVE IT,,Twitter for iPhone
478,𝐹𝒶𝒾𝓇𝓎 𝐵𝑜𝓈𝓈 𝑀𝓊𝓋𝒶 🧚🏽‍♀️,en,,“any perѕon wнo lιveѕ ιn ғear ιѕ a dιѕнonor тo тнeιr creaтor”,False,2022-04-23 23:59:59,@BigMuneyLilMike That must be somebody else lyrics.,,Twitter for iPhone
479,zman 😵‍💫,en,"Charlotte, NC",RIP Luke ✨ . #FinsUp . #AllFly,False,2022-04-23 23:59:59,This man so overrated now its actually hilarious 🤣🤣 https://t.co/TjyYSCB4RS,,Twitter for iPhone
480,AB,en,,,False,2022-04-23 23:59:58,"@JamesFox917 Leury hasn’t batted 4th yet, this is the reason why we’re struggling",,Twitter Web App
481,Exholdin REFORMED,en,,@Expushin is main banned rn,False,2022-04-23 23:59:58,Bruce Brown in the first 3-4 minutes may be the GOAT,,Twitter for iPhone
482,East High Softball,en,"Sioux City, IA",,False,2022-04-23 23:59:58,Just posted a photo https://t.co/VE4sF7Mc2q,,Instagram
483,N 💕,en,,#llmydaddy 💔🕊,False,2022-04-23 23:59:58,First of all i gotta work a double tomorrow 😩😭😭 is need to be sleep rn 😂,,Twitter for iPhone
484,кяιѕтιη,en,United States,This is where I tweet about things [Cats | Tea | Mental Health | Arch & Design | Writing | Art | Star Wars | Pop Culture | Hashtag Puns | Humor],False,2022-04-23 23:59:58,@IsaacLagarda I genuinely lol’ed,,Twitter for iPhone
485,يمن تايم,en,,انا رجل ابحث عن فتاه جاده وصادقه الوتساب خاص وفي سريه,False,2022-04-23 23:59:58,"@OsoMaloso02 @Vouyer85 Wow, very beautiful, is there a sweet girl who comes to WhatsApp",,Twitter for Android
486,Eric St.Escobar,en,#Nationwide,IG st_escobar_ (412) 636-4782 …507 Hawkins Avenue Braddock PA 15104,False,2022-04-23 23:59:58,No turnup ….even lol,,Twitter Web App
487,Alex Squiggles,en,MPLS,"Disc Golfer, Board Gamer, Graphic Designer",False,2022-04-23 23:59:58,@Br00TaLDaN @pizzahutgaming And he's a wonderful human being.,,Twitter for Android
488,🌸 Eva エファ🌷,en,wherever my heart takes me ,"NINJAGO enthusiast; singer, writer and composer @ https://t.co/hTgLzt9Of0; creedal passion for daydreaming & craziness 🗺🇩🇪; @evahammerschmidt on Wattpad",False,2022-04-23 23:59:58,@KevinElevinguy Absolutely awesome! This one so takes the cake 🎂,,Twitter for iPhone
489,tice. 🌷 asleep,en,17 it/she/neos,like rice but low cal | #TiceNation,False,2022-04-23 23:59:58,@lodi_les GIMME UR KINS,,Twitter for iPhone
490,Keith Conrad,en,"Chicago, IL",Podcaster and writer. Priors: @wlsam890 @WGNRadio @AM560TheAnswer #WGSTAtlanta @newstalk1130 & @WVNN Creator of the podcast series Bringing Up The Lights,False,2022-04-23 23:59:58,"@four4thefire Not ""We will take our business elsewhere if you say something we disagree with"", literally ""We will bring the power of the government down on you if you say something we disagree with""... That's... something.",,Twitter for Android
491,Coffee & Crypto,en,"New Orleans, LA",Ever expanding deep seeded knowledge.  Crypto Enthusiast & Entrepreneur 🔥 Expert Coffee Drinker☕️,False,2022-04-23 23:59:58,"@CointiplyFaucet I think this cryptographic answer is ""Private Key""",,Twitter Web App
492,Shnv,en,they/he,It's pronounced Shinovi | Talking Ben World Champion 😎,False,2022-04-23 23:59:58,@MrLSB_ Shnv,,Twitter Web App
493,Crow,en,Yharnam,people hate me because I tell it how it is,False,2022-04-23 23:59:58,I'm fighting Malenia and killed her and thought wow this is easy until a cutscene came and well shit didn't go too well,,Twitter for Android
494,blook ✰,en,they/sun/moon+ -15- native,:3c | undertaletwt/deltarunetwt - shibetwt - aphtwt | pls read rentry byf! | pfp by purple-ravaged on tumblr!!,False,2022-04-23 23:59:58,watching candy isle thank god that stonk guy is out of my mentions,,Twitter for iPhone
495,ؘ,en,potter,hot people like pll.,False,2022-04-23 23:59:58,@adrwgwen heartstopper 3,,Twitter for Android
496,hiyyh luvr⁷ || 5.9 ✘,en,She/Her || black ,btxt luvr™️ || following hiyyihs it girl journey || 10th June 😵‍💫,False,2022-04-23 23:59:58,Choreo barely making sense with . Including some unnecessary moves and constantly including hand twisters of every variation . It’s a mess,,Twitter for iPhone
497,Nicola_Manfredi.eth,en,"Rovereto, Trentino-Alto Adige",Insert in the top 101 International Landscape Photographer of the Year award 2021🏆,False,2022-04-23 23:59:58,@milespphoto Thanks mate!,,Twitter for iPhone
498,Smirks,en,L Corp. Nest,"a weak, pathethic human whose gender seems ambiguous (they/them)",False,2022-04-23 23:59:58,incredible visual novel that always keeps you guessing,,Twitter Web App
499,James Mccleary,en,,,False,2022-04-23 23:59:58,Nice job Mike! It's not funny when people duck with Mike just because he's a Bad Ass because mostly their funded up and trying to show-off but it is funny when they get their asses kicked afterwards. Mike Tyson ( like most) has grown up finally so stop fucking with him!!,,Twitter for Android
500,Menace,en,La ville rose. ,🇬🇫 x ❤️💚🖤 | Fluctuat nec mergitur,False,2022-04-23 23:59:58,EH ? WHAT IF I WAS SUICIDAL ? WHAT IF THAT WAS MY LAST STRAW ? https://t.co/YEQXPHF3fK,,Twitter for iPhone
501,WONG WAN WING,en,Hong Kong,,False,2022-04-23 23:59:58,Test Tweet | SHA1 =&gt; LUDL2DTL1I4U9LM-MN753F0A-L4FKC,,Twitter for iPhone
502,여상's 🥊 ATEEZ JULY CB,en,she her 18 ♡ pink hwa ,"yeosang said im his number one
# 산 to my 우영 @malecslahey",False,2022-04-23 23:59:58,@yunhospearls OUT RN,,Twitter for Android
503,prkr,en,United States,yuh,False,2022-04-23 23:59:58,@queenmady_ Cause I’m frugal like that,,Twitter for iPhone
504,John Hermann,en,,Retired Fire Fighter who loves to ride my Harley. Former Computer Technician for Monroe county schools. Married to Barbara. With 4 grandchildren. FSU Booster,False,2022-04-23 23:59:58,Thank you @The_GramCo ! I ordered gummies on 4/20 and received a wake and bake coffee mug and a styles pen as a gift! Thanks to @joshnewberg247 and @TJ_Pittinger for doing FSU spaces ! And Gramco for sponsoring it!! So glad ya turned us onto @The_GramCo https://t.co/nGeA6xAnHJ,,Twitter for iPhone
505,OohOohAhAahOoh,en,,🤷‍♂️,False,2022-04-23 23:59:58,"@BYRADlOHEAD good, good.. 😈",,Twitter for Android
506,Williord,en,idfk lmao,"I just RT and draw what I like, it's good enough for me",False,2022-04-23 23:59:58,Goddamn that was better than I expected https://t.co/3800Q6pt7V,,Twitter for Android
507,Naaaaaazzzzzzzzzzz,en,"New Jersey, USA",,False,2022-04-23 23:59:58,@justadribbler1 Well then it’s aids idfk 🤷‍♂️😂😂 I’m jus fkin around,,Twitter for iPhone
508,China Kat Sunflower 🌻,en,CA,3rd 🌊 Feminist. GenX. LGBTQ. Ravenclaw. GenX. #GunSense #MomsAreEverywhere #ExpectUs #KHive @SCVdems Board member #CA27 #Biden2020 #StillWithHer She/Her/Hers,False,2022-04-23 23:59:58,"@LeciaMichelle11 Looks like she did a little cleanup. 🙄

I can only imagine what the deleted ones said given that the ones she kept were a hot mess already.",,Twitter for Android
509,FreedomIsland,en,glenmont md,🏖🏝 💫 🌌,False,2022-04-23 23:59:58,game on baybeeee,,Twitter for iPhone
510,MID Night Shyamalan,en,The lay/philly/nyc/thetrap,"REWIND IT OUT NOW Club Demon/OONTZ OONTZ Celeb Philly Born, Nyc legend Lay Living booking: troy@sleepinggiantmusic.com",False,2022-04-23 23:59:58,"The ramifications from this event 
Would echo through my friends and family circle for years https://t.co/Cq8zdNivRa",,Twitter for iPhone
511,kajunia 🪵 D-86,en,hs3; track 7.....,⠀⠀⠀⠀ ⠀⠀…love harry sm!!!💌⠀⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀ ⠀⠀⠀wkurwieni gc & louis lovebot!⠀⠀⠀⠀⠀ ⠀⠀⠀⠀⠀⠀⠀⠀ ...she%her ✩°̥࿐,False,2022-04-23 23:59:58,o girl in red #Heartstopper,['Heartstopper'],Twitter for iPhone
512,Kenzie BENT era | BDAY!!,en,they/them ,"#1 pencey prep fan (REAL) | Leviathan Lover
Everyones favorite gay person 🤍
priv : @TRICKLOVEBOT / gio is my lord and saviour",False,2022-04-23 23:59:58,@ooohFrankie tbh im an artist,,Twitter Web App
513,Kohi (コーヒー),en,,"こんコーヒー！☕️ (｡･ө･｡)
This is Kohi the Coffee Sparrow!
無断転載禁止・Please Do Not Repost/Edit/Trace, etc.!
Business inquiry: kohibeanmail@gmail.com",False,2022-04-23 23:59:58,One week left to join this month's sticker club and nab this design before it's gone! (｡oөo｡) 💦,,Twitter Web App
514,Leia⁷👩‍⚕️2022.06.10.,en,I don't know.....nan molla,"BTS COMEBACK ON JUNE 10, 2022",False,2022-04-23 23:59:58,"@YenicalYoungro @seokmoonl @TheBeyPink Super tuna is still trending in top 10 in bb trending charts and yours ost easily bet your fav in iTunes and still trending.your fav can't even do with heavy promo and performance. A ost and super tuna, a suprise vedio outsold her",,Twitter for Android
515,Keanu Pet Peeves,en,low,"A casual existence. 

Formerly forklift certified. 
Hated boomers before it was cool.",False,2022-04-23 23:59:58,@NoGrounding All down hill now.,,Twitter for Android
516,Sobur,en,,"My journal|
Fitness🏋🏾‍♂️|
Engineering🏗|
Football ⚽️",False,2022-04-23 23:59:58,"I wanna say sweet things to her, but I can't because I have to act like I don't care",,Twitter Web App
517,billie jewish,en,"Portland, OR",i’m mostly talking to myself (he/him),False,2022-04-23 23:59:58,Lost all 4 of my bets following this tweet https://t.co/ltU5Ds5aST,,Twitter for iPhone
